date,Bitcoin Price (US$),Bitcoin Daily Change (US$),Litecoin Price (US$),Litecoin Daily Change (US$),Ethereum Price (US$),Ethereum Daily Change (US$),Bitcoin Trend Metric,Litecoin Trend Metric,Ethereum Trend Metric,Facebook Libra Trend Metric,Cryptocurrency Trend Metric
2017-07-09,2506.173214,-47.320944000000054,48.75416359,-2.904581400000005,237.9607548,-6.235314500000015,11.0,1.0,4.0,0.0,1.0
2017-07-16,1910.7495420000002,-78.88364799999954,40.75325605,2.1881138099999973,155.1209585,-15.453661400000016,12.0,1.0,4.0,0.0,1.0
2017-07-23,2753.243865,-76.51018999999997,45.13712637,-1.85859765,228.56360299999997,-3.4201718000000483,11.0,1.0,3.0,0.0,1.0
2017-07-30,2749.384528,42.933763,40.28862021,-0.6921814499999996,196.77191519999997,-9.222992700000049,15.0,1.0,3.0,0.0,1.0
2017-08-06,3230.116709,-7.30665399999998,45.33805078,-0.6140557199999961,266.0311459,17.09147980000003,15.0,1.0,3.0,0.0,1.0
2017-08-13,4063.801053,192.7186469999997,45.14625714,-1.1296772199999978,297.0431103,-12.211010899999962,21.0,1.0,3.0,0.0,2.0
2017-08-20,4085.8103939999996,-74.5220630000008,46.17545277,1.0578240399999999,297.9467304,3.940348799999981,16.0,1.0,3.0,0.0,2.0
2017-08-27,4344.903445,2.924727999999959,61.17533299,9.636655259999998,345.15939449999996,12.726774099999943,17.0,2.0,3.0,0.0,2.0
2017-09-03,4625.296314,30.276296000000002,79.63544245,0.5900809099999975,352.8739889,3.7731716999999776,19.0,1.0,3.0,0.0,2.0
2017-09-10,4261.843521,-73.74992900000052,67.48594405,-4.169736889999996,301.32870539999993,-3.9047683000000575,22.0,1.0,3.0,0.0,2.0
2017-09-17,3711.8562039999997,0.621853000000101,51.33487294,-1.0303442400000051,259.59528489999997,4.410789299999976,16.0,1.0,2.0,0.0,2.0
2017-09-24,3676.8969439999996,-98.70364999999993,47.71811803,-1.5733034100000012,284.71070660000004,-0.38809609999992745,13.0,1.0,2.0,0.0,1.0
2017-10-01,4382.086898,47.54228499999954,54.72108113,-0.5399259799999996,302.92121539999994,1.267640599999936,13.0,1.0,2.0,0.0,1.0
2017-10-08,4600.739797,161.88386400000036,53.28871163,0.7048197300000041,308.81120780000003,-2.7283199999999397,20.0,1.0,2.0,0.0,2.0
2017-10-15,5689.86506,-95.87325499999952,65.61516981,1.529509019999992,335.29290679999997,-3.9469991000000277,20.0,1.0,3.0,0.0,2.0
2017-10-22,5996.598139,-33.609754000000066,56.64665897,-1.4076640800000035,294.8624833,-5.102005899999995,21.0,1.0,2.0,0.0,2.0
2017-10-29,6174.728845000001,412.3402679999999,56.92670089,2.475343890000005,304.3368568,9.276332500000024,29.0,1.0,3.0,0.0,2.0
2017-11-05,7371.139029999999,-49.359049000001505,54.62556003,-0.36084492999999895,296.3086274,-3.7282326000000126,30.0,1.0,3.0,0.0,2.0
2017-11-12,5829.097828,-517.6236210000006,58.39963271,-3.9222435500000046,307.1768182,-8.971007900000018,32.0,1.0,3.0,0.0,2.0
2017-11-19,8018.320688,222.16644700000052,71.58698552,2.3022906799999987,355.9324454,8.502609000000064,28.0,1.0,4.0,0.0,3.0
2017-11-26,9319.903315000001,559.7378730000019,86.37553455,-2.5250762200000025,472.27797549999997,5.475070799999969,67.0,3.0,7.0,0.0,5.0
2017-12-03,11213.942659999999,279.08266999999796,100.94713940000001,1.4686916700000126,464.3860728,4.528976900000032,94.0,5.0,8.0,0.0,6.0
2017-12-10,15474.99954,424.9775900000004,149.9130355,-7.217790199999996,444.877737,-38.182441799999935,89.0,16.0,10.0,0.0,9.0
2017-12-17,19250.46765,-390.04623000000356,321.8771163,22.867041599999993,729.3312247,31.503368199999954,100.0,9.0,9.0,0.0,10.0
2017-12-24,14026.34687,-884.5112300000001,274.2576787,-16.02556830000003,688.8907937000001,-36.260066299999835,64.0,5.0,6.0,0.0,8.0
2017-12-31,13921.48064,972.76476,229.03527340000002,11.477471900000012,742.2554649,28.472632299999987,49.0,4.0,7.0,0.0,11.0
2018-01-07,16231.695,-871.8942800000004,271.73953670000003,-6.559345600000029,1102.889537,96.73206200000004,47.0,4.0,10.0,0.0,11.0
2018-01-14,13681.06546,-550.159599999999,239.0826844,-18.175713400000006,1361.915076,-18.22946500000012,58.0,3.0,8.0,0.0,10.0
2018-01-21,11422.39426,-1346.010330000001,189.73093319999998,-20.670096200000046,1039.423233,-112.52229899999998,40.0,2.0,5.0,0.0,6.0
2018-01-28,11615.958709999999,294.98851999999897,191.4302208,12.117613799999987,1214.831299,122.06306300000006,41.0,2.0,5.0,0.0,6.0
2018-02-04,8250.526896,-881.5734260000008,149.3736047,-7.726594200000022,836.6724573,-124.22136879999994,49.0,2.0,4.0,0.0,6.0
2018-02-11,8096.728481,-433.56432399999903,150.159758,-4.843103799999994,814.7832708999999,-35.931578599999966,28.0,3.0,3.0,0.0,4.0
2018-02-18,10452.09198,-633.5064299999995,214.82163369999998,-14.611718600000017,915.3109056,-59.92090069999995,25.0,3.0,3.0,0.0,4.0
2018-02-25,9603.227477,-83.37430299999869,217.57296569999997,11.480572399999943,842.3117199999999,8.308873699999936,20.0,2.0,2.0,0.0,3.0
