Category: All categories,,,,,
,,,,,
Week,bitcoin: (Worldwide),litecoin: (Worldwide),ethereum: (Worldwide),facebook libra: (Worldwide),cryptocurrency: (Worldwide)
12/30/2018,9,<1,1,<1,1
1/6/2019,9,<1,1,<1,1
1/13/2019,8,<1,1,<1,1
1/20/2019,7,<1,1,<1,1
1/27/2019,7,<1,1,<1,1
2/3/2019,8,<1,1,<1,1
2/10/2019,7,<1,1,<1,1
2/17/2019,8,<1,1,<1,1
2/24/2019,8,<1,1,<1,1
3/3/2019,7,<1,1,<1,1
3/10/2019,7,<1,1,<1,1
3/17/2019,7,<1,1,<1,1
3/24/2019,7,<1,1,<1,1
3/31/2019,12,1,1,<1,1
4/7/2019,10,<1,1,<1,1
4/14/2019,9,<1,1,<1,1
4/21/2019,10,<1,1,<1,1
4/28/2019,9,<1,1,<1,1
5/5/2019,12,<1,1,<1,1
5/12/2019,19,1,1,<1,1
5/19/2019,13,1,1,<1,1
5/26/2019,14,1,1,<1,1
6/2/2019,12,1,1,<1,1
6/9/2019,11,1,1,<1,1
6/16/2019,17,1,1,1,2
6/23/2019,25,1,1,<1,1
6/30/2019,17,1,1,<1,1
7/7/2019,16,1,2,<1,1
7/14/2019,15,1,3,<1,1
7/21/2019,13,<1,1,<1,1
7/28/2019,12,1,1,<1,1
8/4/2019,14,1,1,<1,1
8/11/2019,13,<1,1,<1,1
8/18/2019,12,<1,1,<1,1
8/25/2019,11,<1,1,<1,1
9/1/2019,11,<1,1,<1,1
9/8/2019,10,<1,1,<1,1
9/15/2019,9,<1,1,<1,1
9/22/2019,12,<1,1,<1,1
9/29/2019,10,<1,1,<1,1
10/6/2019,9,<1,1,<1,1
10/13/2019,9,<1,1,<1,1
10/20/2019,11,<1,1,<1,1
10/27/2019,10,<1,1,<1,1
11/3/2019,9,<1,1,<1,1
11/10/2019,9,<1,1,<1,1
11/17/2019,8,<1,1,<1,1
